sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
MASCULINO;COMERCIO;FABRICA DE;PRADO;3;10.0;2018-07-13;5000000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;RECREATIVO EDUCATIVO;BARRIO CAICEDO;1;9.0;2017-10-30;6000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;ARANJUEZ;2;4.0;2017-08-03;7300000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;VARIEDADES;CABECERA SAN CRISTOBAL;3;60.0;2017-11-20;7000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;FABRICA DE;ROBLEDO;2;7.0;2017-02-23;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;PICACHITO;1;6.0;2017-05-31;7000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;GUAYABAL;3;15.0;2016-02-20;2000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;CARPINELO;1;1.0;2017-02-14;3300000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;VARIEDADES;BELALCAZAR;2;5.0;2018-05-07;7800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;MANRIQUE CENTRAL NO. 1;1;4.0;2018-05-03;7800000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;MANRIQUE CENTRAL NO. 2;2;3.0;2017-02-28;4500000.0;MICROEMPRESARIAL
MASCULINO;AGROPECUARIA;SEMBRADOS;SANTA ELENA CENTRAL;2;90.0;2016-12-23;13000000.0;AGROPECUARIA
FEMENINO;COMERCIO;COMIDAS RAPIDAS;ANDALUCIA;2;2.0;2018-04-12;7800000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;FABRICA DE;SAN JAVIER NO.1;1;13.0;2018-08-23;4000000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;VARIEDADES;BELENCITO;2;13.0;2018-07-30;7800000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;MISCELANEA;CENTRO ADMTIVO;3;10.0;2018-02-14;1000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;CABECERA SAN ANTONIO ;2;80.0;2017-11-16;7000000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;CAFE E INTERNET;MANRIQUE CENTRAL NO. 1;3;4.0;2019-04-29;8000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;TIENDA;VILLA HERMOSA;3;8.0;2018-06-27;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VENTA DE CALZADO;PLAYON DE LOS ;2;2.0;2017-02-27;7000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;PRODUCTOS DE BELLEZA;BUENOS AIRES;3;9.0;2017-07-24;7300000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;TIENDA;MANRIQUE CENTRAL NO. 1;2;4.0;2018-09-14;6000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;POPULAR;2;1.0;2018-10-11;6000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;ALMACEN DE ROPA EN;ROBLEDO;2;7.0;2018-02-15;6000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;TRICENTENARIO;3;5.0;2017-11-20;4000000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;BARBERIA;CALASANZ;2;12.0;2017-09-26;7377000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;FABRICA DE;ARANJUEZ;3;4.0;2016-10-24;6500000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;COMIDAS RAPIDAS;BUENOS AIRES;2;9.0;2019-06-28;1500000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;VARIEDADES;ANDALUCIA;2;2.0;2018-08-17;7800000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;PELUQUERIA;PEDREGAL;3;6.0;2017-10-27;7300000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;JARDINERIA;LA FRANCIA;2;2.0;2017-06-12;7377000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;SANTA CRUZ;2;2.0;2017-06-14;4000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;SAN JAVIER NO.1;2;13.0;2018-02-06;7800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;LA FLORESTA;3;12.0;2017-09-05;7300000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;BELEN;3;16.0;2016-09-16;6890000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;TIENDA;LAS BRISAS;3;5.0;2018-01-15;6000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;PELUQUERIA;CASTILLA;3;5.0;2017-08-11;2500000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;FABRICA DE ALIMENTOS;SAN JAVIER NO.1;2;13.0;2016-10-27;6800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;ALMACEN DE ROPA EN;CABECERA SAN ANTONIO ;2;80.0;2016-09-22;4000000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;VARIEDADES;CABECERA SAN ANTONIO ;2;80.0;2017-07-24;5000000.0;CREDIOPORTUNO
MASCULINO;INDUSTRIA;FABRICA DE;GUAYABAL;2;15.0;2016-03-02;4000000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;FABRICA DE;BELEN;2;16.0;2016-05-24;6500000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;COMIDAS RAPIDAS;SANTANDER;2;6.0;2018-07-27;1200000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;ALMACEN DE ROPA EN;PRADO;3;10.0;2017-11-20;7000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;COMIDAS RAPIDAS;SANTA CRUZ;2;2.0;2018-03-22;1500000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;FABRICA DE TRAPEROS;ARANJUEZ;3;4.0;2016-02-24;2000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;CASTILLA;3;5.0;2017-02-15;4000000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;FABRICA DE ALIMENTOS;SAN JAVIER NO.2;3;13.0;2016-02-29;6890000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;FABRICA DE;SAN JAVIER NO.1;1;13.0;2017-08-15;6000000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;VARIEDADES;PEDREGAL;3;6.0;2017-04-24;7000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;PANADERIA;CABECERA SAN ANTONIO ;2;80.0;2017-04-27;3000000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;MANTENIMIENTO EN;LA MILAGROSA;2;9.0;2018-05-16;7000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;VARIEDADES;LA FLORESTA;3;12.0;2016-08-16;6000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;FABRICA DE;SAN JAVIER NO.1;1;13.0;2017-10-05;7300000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;TIENDA;CABECERA SAN ANTONIO ;3;80.0;2018-05-21;5500000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA DE HELADOS;ROBLEDO;3;7.0;2018-05-23;7800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;TRICENTENARIO;3;5.0;2017-04-27;7000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;MISCELANEA;VILLA HERMOSA;3;8.0;2016-12-19;6890000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;MANTENIMIENTO EN;ANDALUCIA;1;2.0;2016-01-22;6890000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;BOMBONA NO. 1;3;10.0;2016-10-05;4000000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;FABRICA DE;SANTA CRUZ;2;2.0;2016-09-30;6890000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;ALMACEN DE ROPA EN;MANRIQUE ORIENTAL;2;3.0;2017-02-08;1200000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;FABRICA DE;VILLA LILIAM;1;13.0;2019-02-06;7800000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;TIENDA;KENNEDY;2;6.0;2018-09-27;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;ROBLEDO;2;7.0;2016-10-28;6000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;SANTA CRUZ;2;2.0;2016-04-04;4000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;POPULAR;2;1.0;2016-02-29;6500000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;COMIDAS RAPIDAS;DOCE DE OCTUBRE NO.1;2;6.0;2018-05-21;5000000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;BARES;SAN JAVIER NO.1;2;13.0;2018-07-16;5000000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;FABRICA DE;BUENOS AIRES;3;9.0;2018-03-06;7800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;PELUQUERIA;PEDREGAL;3;6.0;2017-04-18;7000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;ALMACEN DE ROPA EN;ROBLEDO;2;7.0;2018-07-03;4000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;ROBLEDO;2;7.0;2018-09-05;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;PELUQUERIA;ROBLEDO;2;7.0;2018-05-03;6000000.0;MICROEMPRESARIAL
FEMENINO;AGROPECUARIA;CRIADERO DE ANIMALES;LA FLORESTA;2;12.0;2016-06-14;6890000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;ALMACEN DE ROPA EN;POPULAR;1;1.0;2018-10-18;7800000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;TIENDA;LA MILAGROSA;3;9.0;2018-02-20;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;RESTAURANTE;ENCISO;3;8.0;2017-03-09;7000000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;ORGANIZACIÓN Y;PEDREGAL;3;6.0;2017-10-12;7377000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;EL SALVADOR;2;9.0;2017-06-06;7377000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;MANRIQUE CENTRAL NO. 1;2;4.0;2018-04-27;3000000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;RESTAURANTE;BELEN;3;16.0;2017-04-03;7350000.0;MICROEMPRESARIAL
